complaint,sentiment,category
Traffic lights at Nehru Street junction are working perfectly now. Great improvement!,0,Road Damage
No streetlights on Anna Salai road. Very unsafe at night!,2,Traffic Light Issue
garbage dumped on anna salai road. municipality is not cleaning!,2,Road Damage
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
The new road markings on Brigade Road street are very clear.,0,Other
No streetlights on Nehru Street road. Very unsafe at night!,2,Road Damage
The municipality has announced repairs for Nehru Street road next week.,1,Pothole
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Flooding
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Flooding
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Traffic Light Issue
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Pothole
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Pothole
Road widening project at Gandhi Nagar is going well. Good job!,0,Other
the pothole on gandhi nagar road was fixed quickly. thank you!,0,Other
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Sign Missing/Damaged
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Flooding
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Flooding
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Road Damage
garbage dumped on mg road road. municipality is not cleaning!,2,Pothole
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Pothole
The road on MG Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
the road on gandhi nagar is completely damaged. immediate repair needed!,2,Flooding
new road signs installed in connaught place. very helpful for drivers.,0,Road Damage
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Road Damage
Road diversion in effect near Nehru Street due to pipeline work.,1,Pothole
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Flooding
Garbage dumped on Linking Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Road Damage
The municipality has announced repairs for MG Road road next week.,1,Illegal Parking
traffic lights at sv road junction are working perfectly now. great improvement!,0,Sign Missing/Damaged
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Sign Missing/Damaged
Street lighting improved on Gandhi Nagar road. Feeling safer now.,0,Sign Missing/Damaged
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Road Damage
Road diversion in effect near SV Road due to pipeline work.,1,Illegal Parking
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Sign Missing/Damaged
Street lighting improved on MG Road road. Feeling safer now.,0,Road Damage
No streetlights on Connaught Place road. Very unsafe at night!,2,Road Damage
severe flooding on gandhi nagar road every time it rains. pathetic!,2,Sign Missing/Damaged
Road diversion in effect near Rajiv Chowk due to pipeline work.,1,Road Damage
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Road Damage
The new road markings on Anna Salai street are very clear.,0,Sign Missing/Damaged
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Flooding
traffic light at rajiv chowk is broken for 2 weeks. very dangerous!,2,Flooding
Severe flooding on SV Road road every time it rains. Pathetic!,2,Pothole
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Road Damage
Traffic lights at Old Airport Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Road Damage
The road in Nehru Street is full of potholes. Government please fix!,2,Pothole
Appreciate the fast response to the complaint about MG Road road.,0,Traffic Light Issue
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
The municipality has announced repairs for Nehru Street road next week.,1,Traffic Light Issue
the road in gandhi nagar is full of potholes. government please fix!,2,Flooding
Appreciate the fast response to the complaint about Old Airport Road road.,0,Traffic Light Issue
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Sign Missing/Damaged
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Traffic Light Issue
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Flooding
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Traffic Light Issue
The road in Connaught Place has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Road diversion in effect near MG Road due to pipeline work.,1,Pothole
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Road Damage
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Road Damage
Speed limit has been changed to 40 kmph near Nehru Street.,1,Traffic Light Issue
Appreciate the fast response to the complaint about MG Road road.,0,Traffic Light Issue
Severe flooding on Brigade Road road every time it rains. Pathetic!,2,Traffic Light Issue
Severe flooding on Brigade Road road every time it rains. Pathetic!,2,Flooding
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Flooding
No streetlights on Connaught Place road. Very unsafe at night!,2,Pothole
The road in Nehru Street is full of potholes. Government please fix!,2,Road Damage
Road sign missing near SV Road school zone. Children at risk!,2,Road Damage
Appreciate the fast response to the complaint about Old Airport Road road.,0,Traffic Light Issue
Traffic signal at Linking Road is under maintenance.,1,Other
The road in SV Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Pothole
There is construction work happening on Anna Salai road.,1,Sign Missing/Damaged
Road damage near Anna Salai hospital is causing problems for ambulances!,2,Traffic Light Issue
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Pothole
Severe flooding on SV Road road every time it rains. Pathetic!,2,Pothole
Traffic lights at Connaught Place junction are working perfectly now. Great improvement!,0,Road Damage
Severe flooding on SV Road road every time it rains. Pathetic!,2,Sign Missing/Damaged
Road widening project at Anna Salai is going well. Good job!,0,Other
The new road markings on Rajiv Chowk street are very clear.,0,Road Damage
The pothole on Anna Salai road was fixed quickly. Thank you!,0,Traffic Light Issue
the road on mg road is completely damaged. immediate repair needed!,2,Pothole
Garbage dumped on MG Road road. Municipality is not cleaning!,2,Flooding
Huge pothole on SV Road road causing accidents. No action taken!,2,Pothole
the road in connaught place is full of potholes. government please fix!,2,Sign Missing/Damaged
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Speed limit has been changed to 40 kmph near Connaught Place.,1,Pothole
The road in Nehru Street is full of potholes. Government please fix!,2,Flooding
Street lighting improved on SV Road road. Feeling safer now.,0,Traffic Light Issue
Traffic chaos at Anna Salai due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Brigade Road.,1,Sign Missing/Damaged
Street lighting improved on Linking Road road. Feeling safer now.,0,Other
Road damage near Gandhi Nagar hospital is causing problems for ambulances!,2,Road Damage
Huge pothole on Linking Road road causing accidents. No action taken!,2,Pothole
No streetlights on Anna Salai road. Very unsafe at night!,2,Traffic Light Issue
The road in Linking Road is full of potholes. Government please fix!,2,Road Damage
Road widening project at Linking Road is going well. Good job!,0,Other
Appreciate the fast response to the complaint about Nehru Street road.,0,Traffic Light Issue
No streetlights on SV Road road. Very unsafe at night!,2,Road Damage
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Sign Missing/Damaged
severe flooding on connaught place road every time it rains. pathetic!,2,Road Damage
traffic lights at nehru street junction are working perfectly now. great improvement!,0,Traffic Light Issue
Road sign missing near SV Road school zone. Children at risk!,2,Pothole
Huge pothole on SV Road road causing accidents. No action taken!,2,Sign Missing/Damaged
New traffic rules implemented at Anna Salai junction from today.,1,Sign Missing/Damaged
Road damage near Gandhi Nagar hospital is causing problems for ambulances!,2,Pothole
Traffic signal at Nehru Street is under maintenance.,1,Road Damage
The new road markings on SV Road street are very clear.,0,Other
The road on Brigade Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
street lighting improved on brigade road road. feeling safer now.,0,Other
The pothole on SV Road road was fixed quickly. Thank you!,0,Other
The pothole on Brigade Road road was fixed quickly. Thank you!,0,Traffic Light Issue
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Road Damage
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Road Damage
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Road Damage
Street lighting improved on Anna Salai road. Feeling safer now.,0,Traffic Light Issue
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
The road in Nehru Street has been repaired. Excellent work by the municipality!,0,Road Damage
The new road markings on Rajiv Chowk street are very clear.,0,Traffic Light Issue
Road diversion in effect near Brigade Road due to pipeline work.,1,Traffic Light Issue
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Road sign missing near Brigade Road school zone. Children at risk!,2,Flooding
Street lighting improved on SV Road road. Feeling safer now.,0,Road Damage
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Road Damage
Road sign missing near Nehru Street school zone. Children at risk!,2,Sign Missing/Damaged
Traffic chaos at Rajiv Chowk due to broken signal. Needs urgent fix!,2,Flooding
Road diversion in effect near Brigade Road due to pipeline work.,1,Other
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Sign Missing/Damaged
traffic chaos at gandhi nagar due to broken signal. needs urgent fix!,2,Flooding
road damage near anna salai hospital is causing problems for ambulances!,2,Road Damage
The road in Linking Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
Traffic lights at Brigade Road junction are working perfectly now. Great improvement!,0,Other
The road in Brigade Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
